SoftwareName;FileName;FQNClass;ClassType;ClassDeclarationKeyword;MethodDeclarationKeyword;ExecutesCommand;AddCommandMethod;HasSuperclass;ImplementsInterfaces;IsPartOfExecute;Role
6JHotDraw;CH\ifa\draw\standard\FigureTransferCommand.java;FigureTransferCommand.java;2;2;1;1;1;2;1;2;3
6JHotDraw;CH\ifa\draw\util\CommandChoice.java;CommandChoice.java;1;2;1;2;2;2;2;1;2
6JHotDraw;CH\ifa\draw\util\CommandMenu.java;CommandMenu.java;1;2;2;2;2;2;2;1;2
6JHotDraw;CH\ifa\draw\util\CommandButton.java;CommandButton.java;1;2;2;2;1;2;2;1;2
6JHotDraw;CH\ifa\draw\util\Command.java;Command.java;2;2;2;1;1;2;1;2;0
6JHotDraw;CH\ifa\draw\figures\GroupCommand.java;GroupCommand.java;1;2;2;1;1;2;1;1;1
6JHotDraw;CH\ifa\draw\figures\InsertImageCommand.java;InsertImageCommand.java;1;2;2;1;1;2;1;1;1
6JHotDraw;CH\ifa\draw\figures\UngroupCommand.java;UngroupCommand.java;1;2;2;1;1;2;1;1;1
6JHotDraw;CH\ifa\draw\standard\ActionTool.java;ActionTool.java;2;2;1;1;1;2;1;1;5
6JHotDraw;CH\ifa\draw\standard\AlignCommand.java;AlignCommand.java;1;2;2;1;1;2;1;1;1
6JHotDraw;CH\ifa\draw\standard\BringToFrontCommand.java;BringToFrontCommand.java;1;2;2;1;1;2;1;1;1
6JHotDraw;CH\ifa\draw\standard\ChangeAttributeCommand.java;ChangeAttributeCommand.java;1;2;2;1;1;2;1;1;1
6JHotDraw;CH\ifa\draw\standard\CopyCommand.java;CopyCommand.java;1;2;2;1;1;2;1;1;1
6JHotDraw;CH\ifa\draw\standard\CutCommand.java;CutCommand.java;1;2;2;1;1;2;1;1;1
6JHotDraw;CH\ifa\draw\standard\DeleteCommand.java;DeleteCommand.java;1;2;2;1;1;2;1;1;1
6JHotDraw;CH\ifa\draw\standard\DuplicateCommand.java;DuplicateCommand.java;1;2;2;1;1;2;1;1;1
6JHotDraw;CH\ifa\draw\standard\PasteCommand.java;PasteCommand.java;1;2;2;1;1;2;1;1;1
6JHotDraw;CH\ifa\draw\standard\SendToBackCommand.java;SendToBackCommand.java;1;2;2;1;1;2;1;1;1
6JHotDraw;CH\ifa\draw\standard\ToggleGridCommand.java;ToggleGridCommand.java;1;2;2;1;1;2;1;1;1
6JHotDraw;CH\ifa\draw\framework\Drawing.java;Drawing.java;3;1;1;1;1;1;2;2;5
6JHotDraw;CH\ifa\draw\framework\DrawingView.java;DrawingView.java;3;1;1;1;1;1;2;2;5
6JHotDraw;CH\ifa\draw\framework\Figure.java;Figure.java;3;1;1;1;1;1;2;2;5
