SoftwareName;FQNClass;CollectionVariable;AddListenerMethod;RemoveListenerMethod;ClassDeclarationKeyword;MethodDeclarationKeyword;ClassType;ScanCollectionMethod;SCMCallAbsMethod;HasSuperclass;ImplementsInterfaces;ChangeState;AfterChangeStateIterateOverList
Path;DrawApplet.java;1;2;1;3;3;1;1;1;2;2;1;1
Path;SleeperThread.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;DrawApplication.java;1;2;1;3;3;1;1;1;2;2;1;1
Path;ChopPolygonConnector.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;DiamondFigure.java;1;2;1;3;3;1;1;1;2;1;1;1
Path;PolygonFigure.java;1;2;1;3;3;1;1;1;2;1;1;1
Path;PolygonHandle.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;PolygonScaleHandle.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;PolygonTool.java;1;2;2;3;3;1;1;1;2;1;1;1
Path;TriangleFigure.java;1;2;1;3;3;1;1;1;2;1;1;1
Path;TriangleRotationHandle.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;ArrowTip.java;1;2;1;3;3;1;1;1;2;2;1;1
Path;AttributeFigure.java;1;1;1;3;3;2;1;1;2;1;1;1
Path;BorderDecorator.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;BorderTool.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;ChopEllipseConnector.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;ConnectedTextTool.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;ElbowConnection.java;1;2;2;3;3;1;1;1;2;1;1;1
Path;ElbowHandle.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;ElbowTextLocator.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;EllipseFigure.java;1;2;1;3;3;1;1;1;2;1;1;1
Path;FigureAttributes.java;1;1;1;3;3;1;1;1;2;2;1;1
Path;FontSizeHandle.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;GroupCommand.java;1;2;1;3;3;1;1;1;2;1;1;1
Path;GroupFigure.java;1;2;1;3;3;1;1;1;2;1;1;1
Path;GroupHandle.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;ImageFigure.java;1;2;1;3;3;1;1;1;2;2;1;1
Path;InsertImageCommand.java;1;2;1;3;3;1;1;1;2;1;1;1
Path;LineConnection.java;1;2;2;3;3;1;1;1;2;2;1;1
Path;LineDecoration.java;1;1;1;3;3;2;1;1;1;2;1;1
Path;LineFigure.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;NumberTextFigure.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;PolyLineConnector.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;PolyLineFigure.java;1;2;2;3;3;1;1;1;2;1;1;1
Path;PolyLineHandle.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;PolyLineLocator.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;RadiusHandle.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;RectangleFigure.java;1;2;1;3;3;1;1;1;2;1;1;1
Path;RoundRectangleFigure.java;1;2;1;3;3;1;1;1;2;1;1;1
Path;ScribbleTool.java;1;2;2;3;3;1;1;1;2;1;1;1
Path;ShortestDistanceConnector.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;TextFigure.java;1;2;2;3;3;1;1;1;2;2;1;1
Path;TextTool.java;1;1;2;3;3;1;1;1;2;1;1;1
Path;UngroupCommand.java;1;2;1;3;3;1;1;1;2;1;1;1
Path;ConnectionFigure.java;1;1;1;3;3;2;1;1;1;2;1;1
Path;Connector.java;1;1;1;3;3;2;1;1;1;2;1;1
Path;Drawing.java;1;1;1;3;3;2;1;1;1;2;1;1
Path;DrawingChangeEvent.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;DrawingChangeListener.java;1;1;1;3;3;2;1;1;1;2;1;1
Path;DrawingEditor.java;1;1;1;3;3;2;1;1;1;1;1;1
Path;DrawingView.java;1;1;1;3;3;2;1;1;1;2;1;1
Path;Figure.java;1;1;1;3;3;2;1;1;1;2;1;1
Path;FigureChangeEvent.java;1;1;1;3;3;1;1;1;2;1;1;1
Path;FigureChangeListener.java;1;1;1;3;3;2;1;1;1;2;1;1
Path;FigureEnumeration.java;1;1;1;3;3;2;1;1;1;2;1;1
